0ad	古代战争即时策略游戏
signs-html5-client	HTML5 信号摘要
siilihai-client	图形网络论坛客户端
silaty	美丽的祈祷提醒
simant	蚂蚁太像人类了，真是可惜
simcaffe	简单的测试咖啡即可获得令人惊叹的快照
simcity-2000	经典的城市建设游戏
simclimat	模拟气候
simili-finder	找到同名文件
simplebudget	使用信封系统的简单预算计划
simple-caio1982	这是测试快照
simple-calculator-4u	简单计算器-4u
simple-chat	简单聊天
simple-cprog	简单的C程序
go-simple	超级简单的应用程序
simple-flashcards	适用于所有平台的极简抽认卡应用程序
simplekey	密码/密钥生成器和哈希表。
simplenote	最简单的记笔记方法。
simple-notepad	简单记事本
simple-openvpn-client	一个简单的 Openvpn 客户端
simpleos	简单的
simple-pwgen	基于 Python3 的非常简单的 GUI 应用程序，用于生成安全且随机的密码。
simple-py	简单的C程序
simplescreenrecorder	超导系统
simplescreenrecorder-brlin	功能丰富的屏幕录像机
simplestreams	使用 Simple Streams 数据的库和工具
simple-todo	简单的基于终端的任务应用程序
simpletraker	simpletraker 很酷的应用程序
simple-web-server	一个简单的（静态）Web 服务器
simplyfortran	简单的 Fortran 3
sims-mod-updater	模拟人生模组更新程序
simtetris	俄罗斯方块游戏的简单版本
simufisica	物理计算模拟平台。
simulationstarterkit-demo	由SimulationStarterKit生成的3D平台演示
simutrans-game	免费的交通模拟游戏
singularityapp	奇点应用程序
siphash	计算 SipHash 1-3、2-4 等。使用给定的密钥。
sirrujak-sciencefair	科学公正
sispmctl	适用于 Linux 的 Silver Shield PM 控制
sitemap-generator	站点地图生成器桌面应用程序 |站点地图.xml
sit-lpc-app	坐LPC应用程序
sixd-node-snap	SixD 节点演示应用程序
skaffold	简单、可重复的 Kubernetes 开发
skanlite	基于KSane后端的图像扫描仪
skanpage	多页文档扫描应用程序
skcalculator	我的测试应用程序
skrifa	使用网络技术构建的简单文字处理器
skrifa-lite	使用网络技术构建的简单文字处理器
skrooge	Skrooge是KDE开发的个人财务管理器
skycheckers	将敌人从舞台上炸下来
skye	来自 Innatical 的快速、美观且私密的浏览器
skype	现在使用 Bing GPT-4 连接、创建、聊天和发现
skyperious	Skype 聊天记录工具
slack	21 世纪的团队沟通。
slack-git-compare	比较 Slack 中的 git 引用
slack-term	适用于您终端的 Slack 客户端
slamit-pinball-big-score	美丽的弹球游戏
slapform	Slapform 为您的表单提供后端。
slashlock	易于使用的文件和文件夹加密
slcli	基于 Python 的 SoftLayer API 工具。
sl-doismellburning	SL(1)：改掉打字错误的坏习惯
sleek	Elegant 是一个基于 todo.txt 语法的开源任务管理器 (FOSS)。它适用于 Linux
slides	在您的终端中滑动。
slitherling	一个简单的贪吃蛇游戏
sliver	对抗性仿真框架
sl-jiphex	改掉打字错误的坏习惯
sl-moon127	SL
slopecalculator	获得准确的结果以找到坡度
slumpsand-linklist	链接列表可以帮助您控制链接...
slypitch	Sly Pitch 是一款独特的街机益智游戏
smallpasskeep	用于密码保护的小应用程序
smallrnaseq	用于小 rna seq 分析的命令行工具
smalltextpad	SmallTextPad 是一个简单的带有加密功能的 Java 文本编辑器！
smart2fa	用于2FA授权的开源软件
smart-file-renamer	在 Windows、Mac 和 Linux 上一键重命名许多文件！
smart-games-puzzle-challenge-3	不错的谜题合集
smartholdem	智能德州扑克
smartscreen	社交屏幕互动
smartsheetcopy	从指定的模板文件夹或文件夹复制文件夹、工作表和报表
smartstock	智能股票
smee	Webhook 有效负载交付服务
smg-reminder	艾德艺-SMG提醒
smithproxy	透明、快速且功能丰富的 TCP/UDP/TLS 代理
smk-starter	我的摘要
smonitor	监控服务器状态（和其他事情）
smplayer	一个很棒的媒体播放器
smt	在系统上设置SMT（超线程）
snailfm	卡拉科尔调频
ruben-snake-cmd	经典贪吃蛇游戏的命令行版本
snakeit	像旧诺基亚手机一样充电！
snake-on-the-chase	《贪吃蛇追逐》是一款经典的贪吃蛇游戏，但又增添了更多风味
snake-ubalot	贪吃蛇电脑版
snap-channels-walkthrough	渠道的一步一步
snap-codelabs	用于使用和创建快照的 Ubuntu Codelabs 离线站点。
snapcraft	轻松创建快照
snapcraft-pr	快速配置和测试 Snapcraft 拉取请求
rust-example	Snapcraft 生锈示例
snapd	支持即时包的守护进程和工具
snapd-hacker-toolbelt	供开发人员破解 snapd 的有用工具集合
snapdiff	以 debdiff 风格比较两个快照
snap-helpers	Python snap-helpers 库的测试 snap。
snaplint	清理你的照片
mega-pinball-windows	美丽的弹球游戏
demo-notifications	在快照中发送通知的演示
snappy-debug	用于调试即时遏制策略违规的工具
snappy-discover	发现本地网络上的快速设备
snappymcsnapface	打印 env HOME 变量的值
snap-store	Snap Store 是一个图形桌面应用程序，用于在 Linux 上发现、安装和管理 Snap。
snap-store-proxy-client	Snap Store Proxy 管理客户端
snap-store-proxy	Snap Store 的智能缓存代理
sutil	用于使用快照和快照存储 API 的实用程序
sniips	适用于您所有设备的免费文本片段和快捷方式应用程序
snippetpixie	您的可扩展文本片段小助手
snmp-exporter-generator	Prometheus SNMP 导出器配置生成器
snom-cli	远程控制您的 SNOM 手机
snowball	类似于平台游戏循环/嗡嗡声线游戏的新速度赛车游戏。
snowboarder	经典街机风格的3D滑雪游戏。
snowflake	具有有用实用程序的图形 SFTP 客户端和终端仿真器
snowling	充满节日气氛的保龄球比赛。
snow-on-me	一个简单的 Web 服务器，按需提供圣诞雪
socket-challenge	套接字挑战
socketee	作为客户端测试 WebSocket
socks-proxy	袜子代理服务器
soda-pipes	不错的桶型游戏
software-inventory-collector	Charm 库存出口商数据收集的客户
software-inventory-exporter	通过网络导出 apt 包和 json 格式的 snap 包
sohochat	Soho Chat即时通讯软件，您不仅可以在各种通讯终端上通过SohoChat聊天交友，还可以随时随地进行免费视频和语音通话或收发重要文件。
soko3d	Windows 版推箱子 3D 版本
sokoban-bk	非常精美的策略游戏
sokobanp	推箱子游戏版本
sokomind3	美丽版Sokomind 3
solar2d	Solar2D 游戏引擎
solargraph	Ruby 语言服务器
solarus	一款免费、开源、轻量级的动作角色扮演游戏引擎。
solc	Solidity——面向契约的编程语言
solidcalculator	实体计算器
solitaire-antics-ultimate	卡牌游戏合集
solitaire	常见的纸牌游戏纸牌游戏，称为 Patience 或 Klondike
solitaire-ultra	适用于 Windows 的纸牌游戏
solitude	桌面上的黑暗房间
sololearn	快速、干净地使用 SoloLearn 的方法
solr	将 solr 作为分叉守护进程启动
solus-iso-downloader	适用于 Solus Linux 的 ISO 下载器
solvespace	2d/3d 参数化 CAD
somafm-qt	SomaFM 广播播放器 (somafm.com)（桌面版、qt5）
somiibo	Somiibo 是一款免费的社交媒体自动化应用程序
sommelier	侍酒师脚本的演示，用于将 Windows 应用程序与 Wine 对接。
sonar	缺少 Docker 和 Docker Hub 实用程序。快速查阅图像信息。
sonarr	适用于新闻组和 BitTorrent 用户的智能 PVR
sonic-exe	一款恐怖、黑暗、扭曲的索尼克游戏
sonic3d	索尼克粉丝游戏
sonobus	索诺总线
sonr	Sonr 是一个基于 Cosmos 的区块链。
soracom	Soracom CLI
soscleaner	从现有 sosreport 中清除敏感和不需要的数据
sos-notepad3	sos notepad3 是一个快速且轻量级的文本编辑器。
sosreport	Sos是一个可扩展、可移植的支持数据采集工具
so-trello	Trello 命令行工具
soundbox	一个简单的扬声器
soundcloud9000	下一代 SoundCloud 客户端
soundgrail	SoundGrail 是一款免费的音乐理论应用程序
souptoys	桌面上的免费玩具盒，可让您玩 100 个玩具
space-cadet	适用于 Windows 的逆向工程 3D Pinball - Space Cadet，一款 Windows 配套游戏。
space-cadet-pinball	适用于 Windows 的逆向工程 3D Pinball - Space Cadet
space-cat	这个动作游戏需要你有猫一样的反应能力！
space-combat	SpaceCombat 是一款开源 PC 游戏
space	JetBrains Space 桌面应用程序
space-invaders-opengl	经典街机游戏的重制版
spaceminer	3D太空采矿游戏。
spacepurge	空间净化
spade	一款管理云存储桶的工具
passiflora	Spagyrik Datenbank 西番莲
sparky	一个关于一只狗试图交朋友的小游戏。
sparrow-wallet	Sparrow 钱包：比特币钱包
special-delivery	Mir 堆栈上的示例应用程序
spectacle	屏幕截图实用程序，取代 KSnapshot
spedread	GTK速读软件：像速跑者一样阅读！
speedtest-cli	使用 speedtest.net 测试互联网带宽的命令行界面
speed-test	使用 speedtest.net CLI 测试您的互联网连接速度和 ping
speedungeon	一个地牢，一颗炸弹。你的目标：穿过 25 个房间离开那里
speedx	具有 CPU 和 RAM 使用实用程序的互联网速度监控器
speedy-duplicate-finder	适用于 Windows、Mac 和 Linux 的快速重复查找器
spelunky	洞穴探险经典高清
spelunky-game	Spelunky 是一款洞穴探索/寻宝游戏
sphere	隔离、智能、集成
spiderfoot	SpiderFoot 是一个开源情报自动化工具（OSINT）。
spider-solitaire	蜘蛛纸牌纸牌游戏
spin-the-wheel	旋转轮子。看看会选择什么！
spirv-tools	SPIR-V 工具项目提供了用于处理 SPIR-V 模块的 API 和命令。
sploded	爆炸了
sploder	斯普洛德
sportogo-locker	Sportogo Locker Network 的 Locker 守护进程
sports-mogul-baseball	出色的体育管理模拟
spot	适用于 GNOME 桌面的 Spotify 客户端。
spotifree	无污渍
spotify	适合所有人的音乐
spotify-qt	使用 Qt 的轻量级 Spotify 客户端
spread	方便地分配系统范围的测试（任务）
spread-dns	传播服务器
spread-mir-ci	方便地分配系统范围的测试（任务）
spreedme	Nextcloud Snap 的 Spreed.ME 音频/视频通话和会议功能
spreed-webrtc-snap	WebRTC 音频/视频通话和会议
springbok-test	单行电梯推介为您带来精彩快照
springlobby-nsg	SpringLobby - SpringRTS 大厅
sqlc	SQL 编译器
sqlitebrowser	SQLite 数据库浏览器
sqlite-database-server	用于多个数据库的 SQLite 便携式数据库服务器
sqlitely	SQLite 数据库工具
sqlitr	sqlitr 是 SQLite 的一个简单查询工具。它是作为 neilotoole/xcgo 的演示创建的。
sqlmap-cli	自动SQL注入和数据库控制工具
sqlmap	自动SQL注入和数据库控制工具
sqlow	不关心版本的 CLI 数据库架构迁移器
squarecloud	Square Cloud 命令行工具。
squarehead	方头经典游戏
squeeze-vid	将视频标准化为最低的投影兼容质量。
squid-gary	Squid 是一个支持 HTTP、HTTPS、FTP 等的 Web 缓存代理。
squiid	Squiid 是一个用 Rust 编写的模块化计算器。
squirrelbot	存储您发送的链接的 Telegram 机器人
squirrelsql	适用于任何 JDBC 兼容数据库的 Java SQL 客户端
srsran	srsRAN 是 SRS 开发的 4G 无线电软件套件。
srututu	角色扮演棋盘游戏
sscreen	多屏社交屏幕互动
ssd-benchmark	超级简单的磁盘基准测试
ssdp	UPNP服务器
s-search	在您的终端中打开网络搜索。
nps-ssh-askpass	x11-ssh-askpass 的跨平台替代品。
ssh-audit	ssh审计
sshesame	易于配置和使用的 SSH 蜜罐
sshguard-robertliu	防止针对 ssh 的暴力攻击
ssh-mitm	用于安全审计和恶意软件分析的中间人 SSH 服务器
sshoot	管理 Shuttle VPN 会话
sshpiperd	缺少 ssh 反向代理
sshtron	通过 ssh 进行 Tron 多人游戏
ssmtp-snap	用于将系统消息发送到邮件中心的极其简单的 MTA
ssmtp-gael	用于将系统消息发送到邮件中心的极其简单的 MTA
ssocks	阴影
ss-qt	深色袜子
stacc	Stacc CLI 占位符
stacker	叉车
stacks-task-manager	您的个人待办事项看板和项目经理
stakecoind	权益币守护进程
stalefish	神经科学工具
standarddeviationcalculator	SD计算器可帮助您逐步计算标准差，
standard-notes	标准注释
starcraft-brood-war	重新发现即时战略经典
stardate-snap	用于将常规时间转换为恒星时间的命令行工具。
starlings-engine	椋鸟发动机
star-raptor	消灭区域内所有敌人
starruler2	太空中的大型 4X/RTS 场景
starscape	该游戏的 Windows 版本
stars	明星！ 4X策略游戏
start-and-doc	开始并记录
stategovopps	美国各州购物网站的索引
static-blog-app	使用 nextjs、markdown、tailwindCSS 和 tauri 构建的静态博客应用程序
statping	通过状态页面统计服务器监控
statping-ng	Statting-ng 服务器状态页面监控
stats	将重复文本中的数字组合在一起
statup	通过状态页面进行 Statup 服务器监控
std	用于任务和笔记的桌面应用程序
stdlib	Fortran 标准库
steady-tun	具有准备好的上游连接池的安全 TLS 隧道
steam	Steam 软件分发服务启动器
stegano	图像和音频隐写术
stella-he-hello	GNU 你好，你好，啪
stellarium-daily	桌面天文馆
stellarium-plars	免费开源天文馆软件
step	交互式物理模拟器
step-mania	StepMania是一款免费开源的跨平台节奏游戏
step-stephenmuss	零信任瑞士军刀，适用于 X509、OAuth、JWT、OATH OTP 等。
stereogram-lab	单图像立体图生成器
steve-test-snap	我用于测试的快照
stifts-terminal	终端应用
stillac-play	喀麦隆的音乐流媒体
stilrocket	斯蒂尔火箭
stmg	重温经典游戏合集
st-novice	即时大卫测试应用程序
stochsd-electron	斯托赫电子
stochsim	系统动力学仿真
stock-split-calendar	显示上市公司股票未来和过去的股息
stonscipap-snap	“石头、剪刀、布”的 2 人版本。
store-admin	Canonical snap-store-proxy 客户端和管理实用程序
store-test-ubuntu-desktop	用于测试 Ubuntu 桌面上的存储元数据
storjshare	Storj 网络上的农业数据。
story	故事 CLI
strace-static	诊断、调试和指导用户空间实用程序
strandedii	在《搁浅 II》中，你将再次面临生存之战。
strange-attractors	奇怪的吸引子游戏
strawberryssg	哥谭被草莓取代
streambop	流波普
stream-monitor	监控您的网络流
streamsheets	用于在电子表格界面中处理流数据的无代码平台
streamtuner2-dev	用于网络广播、音频和视频广播的目录浏览器
street-shuffle	街头洗牌益智游戏
stretchly	休息提醒应用程序
strict-exam-browser-sample	下一个严格浏览器
strimio-desktop	Strimio 是一款适用于 macOS、Windows 和 Linux 的免费媒体播放器，可让您以前所未有的方式播放和组织直播流
stringrunner	单行描述
stringsnap	简短摘要，长度可为 78 个字符
strongbox	安全地管理静态 Hashicorp Vault 机密
strongswan-ipsec	Strongswan ipsec/VPN
structa	用于识别大型数据文件结构的小型、半神奇的实用程序
struggle-compare3	文件夹比较器、文件比较器、Struggle Compare 版本 3，对代码很有用。
strunkg-ros-0-basic	ROS示例
strunkg-ros-1-git-repo	演示如何从拉入工作区的 git 存储库创建快照。
sttr	一个跨平台 cli 应用程序，用于对字符串执行各种操作。
stubb	CircleCI 的 Docker 实用程序。
stunnel5	stunnel 是一个开源跨平台应用程序，用于提供通用 TLS/SSL 隧道服务。
stunt-car-remake	特技汽车视频游戏的翻拍
stuntrally	特技会议
suanpan	开源、并行、异构有限元分析框架
subdominator	用于检测子域获取的 CLI 工具
subitoo	Subito.it 价格跟踪器
sublime-merge	认识一下来自 Sublime Text 创建者的新 Git 客户端
sublime-text	用于代码、标记和散文的复杂文本编辑器。
submission-service	接受复选框结果的提交服务
submix	SubMix 多轨音频编辑器
subsonic-arubislander	您的个人一体式媒体流媒体。
subsurface	面向休闲、技术和自由潜水员的开源潜水计划
subsync	字幕语音同步
subterfuge	使用 SLIP39 实现的 Shamir 秘密共享实验。
subtitld	Subtitld 是用于创建、转录和编辑字幕的软件。
suckit	吸
sudoku-game	数独 9x9 游戏
sudoku-rs	直接在终端中进行数独
sudoku-windows	在计算机上玩数独或打印游戏表以老式方式玩。
sudreg	浏览克罗地亚共和国法院登记处
sugarizer	糖
suid-wrapper	用于创建与 suid 标志一起使用的二进制可执行文件的实用程序
suligap-python3-qrcode	纯Python二维码生成器
sumatrapdf	SumatraPDF 体积小、速度快、可定制且免费。
super-burgertime	经典街机游戏
supercalc-snap	适用于 Ubuntu 的强大计算工具集合。
super-candy-cruncher	精美的动作和益智游戏
supercell	用于转换无序晶体结构的软件。
super-chat	超级聊天
super-cratebox	街机游戏
superintendantscout	侦察员超级管理员是侦察员活动菜单规划的助手。
supermariobros-game-builder	这是对《超级马里奥兄弟》游戏的忠实模拟。任天堂娱乐系统原创。
supermarket	超市模拟
superperms	寻找最小超级排列
superproductivity	超级生产力
supersim	一款有趣的超市模拟游戏。
super-smash-bros-crusade	超级明星大乱斗Crusade 是一个粉丝开发的项目
super-smash-land	GameBoy风格的游戏
super-space-invaders	经典街机游戏
super-star-trek	超级星际迷航经典文字版
super-tower-rush	在致命的尖刺抓住你之前，尽可能地从塔上下来！
supertpv-branch-server	SuperTPV 的 Bracnh 服务器
supertpv-desktop-client	supertpv-桌面客户端
supertpv-label-printer	超级标签打印机
supertpv-print-server	SuperTPV 打印服务器
super-track	超级皮斯塔
supertux	SuperTux 是一款经典的开源 2D 横向卷轴跳跃和奔跑游戏，其风格与原版《超级马里奥》游戏类似
supertuxkart	具有多种角色、赛道和游戏模式的 3D 街机赛车游戏
super-u-plan	用于规划和管理项目进度的有用工具。
surc	Snap 上游版本检查器
opensurge	一款有趣的 2D 复古平台游戏，灵感来自索尼克游戏和游戏创建系统
surl	精简 Ubuntu Store API 包装器。
survivor-reborn	幸存者回来了！
sushido	抓鱼做寿司！冲洗并重复
susi-api	研华创建 SUSI API 来简化应用程序开发并通过研华物联网设备提供独特的服务
suside	苏赛德编辑
suspended-sentence	Hanging Sentence：以太空飞船为背景的点击式冒险游戏
svg2pts	将 SVG 转换为点的命令行程序。
svg-labels	SVG 打印标签生成器
svgo	一个基于 Node.js 的工具，用于优化 SVG 矢量图形文件
svix	Svix CLI 实用程序
svlint	Linter SystemVerilog
svls	系统Verilog语言服务器
swach	适合现代时代的强大色彩管理工具。
swarm-api	docker swarm 的简单 REST API
swed	复杂的文本编辑器。
sweeper	历史记录和临时文件清理器
sweethome3d-homedesign	用于绘制房屋平面图和布置家具的室内设计应用程序
swell-foop	通过移除成组的彩色和形状的碎片来清洁屏幕
sw-hive	SW-蜂巢
swiftbay-cyber-client	Swiftbay-网络客户端
swift-ring-checker	检查 Juju 中部署的 Swift 集群上的快速环。
swi-prolog	Prolog编程语言的全面实现
swopi-issuer	Swopi发行客户端
symboleditor	十字绣符号编辑器
symbolic-preview	符号学变得简单
symbolize	使用符号链接使配置文件在工作站之间保持同步
symbol-tax	税务符号
symgrpmad	基于重叠对称群思想的游戏。
symphytum	易于使用的个人数据库软件
sync-agent	Infobaleen 同步代理
sync-and-dump-s3	同步 AWS S3 存储桶并上传 MySQL 和 MongoDB 转储
syncappkiosk	同步应用亭
syncdns	跨多个注册表轻松同步基础设施的 DNS 条目
syncdraw	SyncDraw - ANSI 绘图应用程序
syncfusion-flutter-gallery	Syncfusion Flutter 演示
syncplay	客户端/服务器在多台计算机上同步媒体播放
syncterm-linux	Ubuntu 版本的 Syncterm - BBS 终端模拟器
syncthing-arubislander	无缝开源文件同步
syncthing-gael	无缝开源文件同步
syn	Syntesys 的单线电梯间距
synfigstudio	开源 2D 动画软件
synthesijer	Synthesijer 是一个 Java 到 VHDL/Verilog HDL 编译器
synthetic-things	一个制造合成水果的奇妙工厂。
syscoin-core	捕捉到 syscoin 核心
htop-pro	具有 CPU 和 RAM 使用实用程序的互联网速度监控器
sysrepo-netopeer-gen	sysrepo 和 netopeer snap
sysrepo-netopeer-shejoshi	sysrepo 和 netopeer snap
systemg	System G 为 UNIX 文件系统提供图形界面。
system-information	一个显示 Linux 统计数据的 flutter 应用
system-tool	查看系统信息
szyszka	Szyszka - 用 Rust 编写的快速文件重命名器
t2sz	它将任何文件压缩到可搜索的 .zstd 文件中
tabela	在表格中显示 CSV 内容的简单应用程序。
table	桌子
tabletop-club-unofficial	开源多人桌面模拟器
codechenx-tv	电视（表查看器）到终端中的分隔文本文件（csv、tsv 等）
tablexplore	绘图和数据分析包
tabula	Tabula 有助于释放 PDF 文件中的数据表。
tabular	解析 ASCII 表格数据，例如 docker ps 或 netstat -tanp 的输出。
tacentview	tga、png、apng、exr、dds、pvr、ktx、ktx2、astc、pkm、qoi、gif、hdr、jpg、tif、ico、webp 和 bmp 文件的图像查看器/编辑器。
tactics	建立你的足球阵容
tagger	标记您的音乐
taisho	Urbit OS 的船舶运行者和管理者
taiwan-consensus	台湾共识
talevideo	创建产品视频的最简单方法
tali	掷骰子并得分
tamtam-app	谭谭
tanda	用于对 flutter 项目进行版本控制的命令行工具遵循标准语义版本控制。
tandem	远程团队的虚拟办公室
tangled-slug	关于弹性蛞蝓和蘑菇的逻辑游戏
tango	与访问日志共舞的命令行工具💃
tank-d8	自上而下的 2D 街机弹幕动作
tanks-of-freedom	RTS策略游戏
tank-warriors	驾驶、射击、爆炸和编程——一切尽在一款游戏中
tapaal	TAPAAL 是用于建模和验证 Petri 网的免费软件
tapyrus-core	联邦管理的区块链
tapyrus-signer	Tapyrus 签署人
tarantool	内存数据库和Lua应用服务器
tarquin	磁共振波谱数据时域分析方法
tarski	计算 Tarski 公式和半代数集的系统
taskade	探索 Taskade，您的人工智能驱动的团队生产力平台。通过任务、笔记和思维导图的人工智能辅助提高效率
taskbook	命令行栖息地的任务、面板和注释
task-creator	在 github 上创建问题
taskctl	taskctl - 并发任务运行器，开发人员例行任务自动化工具包
task	一个更简单的任务运行器/用 Go 编写的替代方案
tasker	简单的待办事项应用程序可以记住您做了什么
taskline	命令行栖息地的任务、面板和注释
tasks	命令行 todolist 应用程序
taskwarrior-plars	功能丰富的基于控制台的任务列表管理器
taskwarrior-tui	Taskwarrior 的终端用户界面
tastyworks-unofficial	TastyWorks 平台快速打包以实现兼容性
tauno-monitor	简单的独立串口监视器
tauno-serial-plotter	简单的串行绘图仪
taup	TauP 工具包：灵活的地震走时和射线路径实用程序
tautulli	用于 Plex 媒体服务器的基于 Python 的监控和跟踪工具。
tbfdigital	tbf数字
tbinge	狂欢
tcpdump	命令行网络流量分析器
tcpdump-snap	tcpdump 数据包分析器
tcpie	用于 ping 任何 TCP 端口的 CLI 工具
tcping	平 TCP
tcr-status-led	控制 Microfabricator 上的状态 LED
tdengine	专为物联网设计和优化的开源大数据平台。
tdhcad	图形和矢量图形
tdhgis	GIS，基于矢量的空间分析
tdhgisnet	最短路径分析
tdhnet	供水系统和管网的水力建模
teachnext-demo	教下一个演示
teachnext	屡获殊荣的数字教室解决方案
team-pacman	Team Pacman 是 Namco 经典街机游戏的多人版本
teams-for-linux	Linux 团队
teamtime	用于跟踪分布在全球的团队的时间的脚本。
teamworkchat	团队协作聊天为您的整个团队提供了即时沟通的平台。
teapot	响应“我是茶壶”的 Web 服务
teatime	用于 Unity 和 Dash 对接的简单秒表应用程序
comp-labs-meet	无需任何帐户即可在 Linux 桌面上免费加入会议！
tectonic	构造版式系统
teeworlds-unofficial	复古多人射击游戏
teletext	芬兰语图文电视查看器
tela-icons	Snap 的画布图标主题
telebit-relay	为什么好友不允许本地好友
telefaza	电信公司
telega	GNU Emacs 上 Telegram 的完整非官方客户端。
telegraf	电报代理
telegram-cli	Telegram 的命令行界面。使用 readline 接口。
telegram-desktop	快速地。安全的。强大的。
telegram-testbart	一款基于云的消息传递应用程序，注重安全性和速度。
teleguard-desktop	即时通讯工具，无需连接电话号码，也无需收集用户身份数据。没有注册表
telemetry-agent-host	主机代理收集资源使用统计信息！
telemetrytv-desktop	TelemetriaTV 桌面
ttvdesktop	TelemetriaTV 桌面
ttvplayer	Telemetria电视播放器
telemetrytv	Telemetria电视播放器
teleprompter	在屏幕上显示滚动文本
telsis-translator-flutter	Telsis 语言翻译器
tempest	OpenStack 集成测试套件
tempest-jhobbs	OpenStack 风暴测试
templatizer	利用模板存储库加速您的开发。
temporal	使用 CLI 运行临时服务器并与临时服务器交互
tempren	基于模板的文件重命名实用程序
teresa-cli	用于将应用程序部署到 Kubernetes 集群的开源工具
terje-awesome-app	我的第二张快照
term2048	终端上显示 2048
termbreaker	TermBreaker 是一款反向突破游戏。
termdown	终端上的倒计时和计时器。
terminal-parrot	为您的终端跳舞的鹦鹉
terminalworm	经典贪吃蛇游戏的重制版
terminology	使用 Enlightenment Foundation 库编写的终端模拟器
terminusdb	文档图数据库
termius-beta	特米乌斯贝塔
termius-app	SSH、SFTP、MOSH、telnet 和串行在一个漂亮的应用程序中
termplay	在您的终端上播放图像/视频！
termshark	受 Wireshark 启发的 tshark 终端 UI
termtosvg-simosx	将终端会话记录为 SVG 动画
termtrack	在您的终端上跟踪卫星
termui	特尔穆伊
terraform-abacao	安全高效地构建、更改和版本化基础设施
terraform-docs	Terraform Docs 生成多种格式的 Terraform 模块文档
terraform	Terraform 允许您创建、更改和改进基础设施。
terraform-johanburati	安全高效地创建、更改和版本化基础架构
terraform-snap	Terraform 即时应用程序
terragrunt	安全高效地构建、更改和版本化基础设施
terranet-dashboard	作为 Terranet 仿真工具的 Node-Red 前端的便捷快照
teselagen	TeselaGen CLI 工具
tesler	特斯勒
tess	苔丝终端
tesseract-ignition	超立方体点火
test003-nc	Nextcloud 服务器 – 所有数据的安全之家
test872334	测试872334
test-aaronplusone	单行电梯推介为您带来精彩快照
test-addition	添加 python snap 应用程序
test-adrianhungate	单行电梯推介为您带来精彩快照
test-ajit	单行电梯推介为您带来精彩快照
test-alex	单行电梯推介为您带来精彩快照
test-anneso	超级快照
testapp-desktop	测试应用程序
test-app-hiro	Snapcraft 应用程序演示
test-assumes	测试 snapd 的快照
test-brent-quixote	Snapcraft 应用程序演示
test-callen3181	单行电梯推介为您带来精彩快照
test-casey-annis	单行电梯推介为您带来精彩快照
test-danielfischer	单行电梯推介为您带来精彩快照
test-deildabikar	单行电梯推介为您带来精彩快照
test-description-markdown	具有标记描述的测试快照
test-diegobruno	测试测试测试单线提升步骤让您惊叹不已
hello-railarem	只是用图标进行测试
testepython	测试
tester1	单行电梯推介为您带来精彩快照
test-erik	单行电梯推介为您带来精彩快照
testflinger-cli	testflinger-cli
test-for-juan-2	Github 即时测试 2
lee	GNU 你好，你好世界快照
test-hello	简单的 dotnet 你好世界
test-hello-wililupy	测试 Hello World 快照
test-hesam-pakdaman	单行电梯推介为您带来精彩快照
test-ianmacdougall	单行电梯推介为您带来精彩快照
test-incuvers-iot-jy	测试 incuvers-iot-jy
test-jamesh-webapp	一个简单的测试 Web 应用程序
test-jason	单行电梯推介为您带来精彩快照
test-joseluis	这是我的上帝凯尔·尼采的一次尝试
test-kimjensen	单行电梯推介为您带来精彩快照
test-kuway	单行电梯推介为您带来精彩快照
test-lnxagent	Linux 代理安装程序
testmace	用于使用 API 的强大 IDE
test-masa	特斯托斯纳普
testmylib	SNAP HelloLib 测试
test-ngmartins	单行电梯推介为您带来精彩快照
testnode	单行电梯推介为您带来精彩快照
test-offlineimap-aguest	离线IMAP
test-offlineimap-amalota	离线IMAP
test-offlineimap-jaimeandrescatano	离线IMAP
test-oskar	单行电梯推介为您带来精彩快照
test-pandrei	单行电梯推介为您带来精彩快照
test-raf-snap-name	单行电梯推介为您带来精彩快照
test-rahul	单行电梯推介为您带来精彩快照
test-repo-hiro	hiro 的测试存储库
test-robhughes	店内出版的即时测试
test-sharif	单行电梯推介为您带来精彩快照
tests-hello	单行电梯推介为您带来精彩快照
test-skuby2	测试发布
testsnap1	单行电梯推介为您带来精彩快照
test-snap-ct	单行电梯推介为您带来精彩快照
test-snapd-base-bare	用于快照测试的空底座快照
test-snapd-control-consumer	具有即时控制功能的基本消费者快照
test-snapd-core18	基于Ubuntu 18.04的运行环境
test-snapd-cups-control-consumer	用于杯子控制的基本消费级 Snap
test-snapd-cups-provider	杯子供应商提供杯子配件
test-snapd-daemon-refresh	测试 snapd 守护进程刷新
test-snapd-dbus-service	基于Python的dbus服务示例
test-snapd-fuse-consumer	基本熔断器消费配件
test-snapd-glxgears	GLX齿轮
test-snapd-gnome-online-accounts	测试 gnome-online-accounts-service 接口
test-snapd-go-webserver	最小的 Golang Web 服务器以实现敏捷性
test-snapd-network-status-provider	基本网络状态提供商快照
test-snapd-pc-core18	用于测试snapd的PC小工具
test-snapd-pc	用于即时集成测试的 PC 小工具
test-snapd-pc-kernel	基于pc-linux r207的过时的测试内核
test-snapd-public	基本 Snap 将公开发布
test-snapd-python-webserver	基于Python的Web服务器示例
test-snapd-rsync-core18	在 Linux/Unix 系统上复制和同步文件和目录。
