0ad	Forn stríðsleikur í rauntíma
shadowsocks-rust	Shadowsocks Rusty Harbor
shadowtest	Vefþjónusta til að prófa shadowsocks lykla
shanepelletier-delta	Símboði með setningafræði auðkenningu fyrir git, diff og grep úttak
shanepelletier-hello-hardware-observe	Lítil smáforrit sem fylgist með vélbúnaðinum.
rjd-shapeit	Segmentað haplotype mat og útreikning tól
sharaga	háskólaumsókn
share	Deildu skránum þínum með Cloudproviders með aðeins einni skipun
share-preview	Prófaðu samfélagsmiðlakort á staðnum
sharik-app	Opinn uppspretta, þverpallalausn til að deila skrám yfir staðarnet
shattered-pixel-dungeon	LibGDX útgáfa af hinu ótrúlega Pixel Dungeon
shcli	Python viðskiptavinur fyrir Socialhome.
sheepshaver	MacOS SheepShaver keppinautur - líkir eftir PowerPC Mac tölvum
shell2http	Framkvæmir skel skipanir í gegnum HTTP netþjón
shell2telegram	Telegram bot Builder frá skipanalínunni
shell-assistant	SSH og SFTP viðskiptavinur, skeljaútstöð, fjarskjalastjóri og kóðaritari.
shellcheck	Stöðugt greiningartæki fyrir skeljahandrit
shellsnake	einfaldur leikur
shenko	Opinn uppspretta samfélag byggt á Python forritunarmálinu
shetech-sweetstyle	Snap app til að sýna SnapCraft fyrir SheTech-2019
shfmt	Skeljaþjálfari, formatter og túlkur (POSIX/Bash/mksh).
shipgunner	海战射击游戏; skotleikur herskipa
shisensho	ShisenSho er leikur eins og Mahjong
username	leyndarmál
shmem-test-client	Biðlarinn fyrir prófun á samnýtt minni kerfis v.
shmem-test-server	Miðlarinn fyrir prófun á samnýtt minni kerfis v.
flyre	Flyre er pixel list geimskotleikur.
underwater-battles	Underwater Battles er 2D RPG skotleikur
shortpwd	Prentar núverandi vinnuskrá sem er skorin með sporbaug í miðjunni.
shortwave	Finndu og hlustaðu á netútvarpsstöðvar
shotcut	Ókeypis, þvert á vettvang, opinn vídeó ritstjóri
shotwell	Digital Photo Organizer
should-i-watch-this	Spyrðu á netinu hvort kvikmynd eða þáttur sé þess virði að horfa á
shoutrrr	Auðvelt er að senda tilkynningar.
ike-qt-lts	The Shewsoft VPN framkvæmdastjóri
sickgear	Veikindi
siff	Eina tólið til að skrifa, gefa út og stjórna bókaverkefnum
sight	Skoðaðu skrár
signageful-player-wayland	Stafrænt skiltakerfi
signal-desktop	Talaðu frjálslega - Private Messenger
signed	Skipanalínutól til að undirrita, staðfesta og sýna sameiginlegt leyndarmál. Og opinber lyklastjórnun.
signs-html5-client	HTML5 merki samantekt
siilihai-client	Grafískur vefspjallviðskiptavinur
silaty	Falleg bænaáminning
simant	Maurar eru svo líkir mönnum að það er synd
simcaffe	einfalt prufukaffi fyrir ótrúlegt smell
simcity-2000	Klassíski borgarbyggingarleikurinn
simclimat	SimClimat
simili-finder	Finndu skrána með sama nafni
simplebudget	Einföld fjárhagsáætlun sem notar umslagskerfið
simple-caio1982	Þetta er skyndimynd fyrir próf
simple-calculator-4u	einföld reiknivél-4u
simple-chat	Einfalt spjall
simple-cprog	Einfalt C forrit
go-simple	Ofur einfalt app
simple-flashcards	Minimalist flashcards app fyrir alla vettvang
simplekey	Lykilorð/lyklaframleiðandi og kjötkássatöflu.
simplenote	Einfaldasta leiðin til að taka minnispunkta.
simple-notepad	Einfalt skrifblokk
simple-openvpn-client	Einfaldur Openvpn viðskiptavinur
simpleos	einfalt
simple-pwgen	Mjög einfalt GUI forrit byggt á Python3 til að búa til örugg og handahófskennd lykilorð.
simple-py	Einfalt C forrit
simplescreenrecorder	ssr
simplescreenrecorder-brlin	A lögun-ríkur skjár upptökutæki
simplestreams	Bókasafn og verkfæri til að nota Simple Streams gögn
simple-todo	Einfalt verkefnaforrit sem byggir á flugstöðvum
simpletraker	simpletraker flott app
simple-web-server	Einfaldur (statískur) vefþjónn
simplyfortran	Einfaldlega Fortran 3
sims-mod-updater	Sims Mod Updater
simtetris	Einföld útgáfa af leiknum Tetris
simufisica	Eðlisfræði reiknihermi vettvangur.
simulationstarterkit-demo	3D pallur kynning búin til af SimulationStarterKit
simutrans-game	Ókeypis samgönguhermi leikur
singularityapp	Singularity app
siphash	Reiknaðu SipHash 1-3, 2-4, o.fl. með tilteknum lykli.
sirrujak-sciencefair	Vísindasýning
sispmctl	Silver Shield PM Control fyrir Linux
sitemap-generator	Veftré generator skrifborðsforrit | sitemap.xml
sit-lpc-app	SIT LPC APP
sixd-node-snap	SixD Node Demo Umsókn
skaffold	Auðveld, endurtekin Kubernetes þróun
skanlite	myndskanni byggður á KSane bakenda
skanpage	Margsíðuforrit til að skanna skjöl
skcalculator	Prófunarforritið mitt
skrifa	Einfalt ritvinnsluforrit byggt með veftækni
skrifa-lite	Einfalt ritvinnsluforrit byggt með veftækni
skrooge	Skrooge er persónulegur fjármálastjóri þróaður af KDE
skycheckers	Sprengja óvini af sviði
skye	Hratt, fallegur og einkavafri frá Innatical
skype	Tengstu, búðu til, spjallaðu og uppgötvaðu, núna með Bing GPT-4
skyperious	Skype spjallsögutól
slack	Samskipti teymi fyrir 21. öldina.
slack-git-compare	Bera saman git tilvísanir í Slack
slack-term	Slakur viðskiptavinur fyrir flugstöðina þína
slamit-pinball-big-score	Fallegur pinball leikur
slapform	Slapform veitir stuðninginn fyrir eyðublöðin þín.
slashlock	Auðvelt að nota skráa- og möppudulkóðun
slcli	Python byggt SoftLayer API tól.
sl-doismellburning	SL(1): Læknaðu slæma vana þína að skrifa rangt
sleek	Elegant er opinn uppspretta verkefnastjóri (FOSS) sem byggir á todo.txt setningafræðinni. Það er fáanlegt fyrir Linux
slides	Skyggnur í flugstöðinni þinni.
slitherling	Einfaldur snáka leikur
sliver	Andstæðingur eftirlíkingarrammi
sl-jiphex	Lækna slæma vana þína að skrifa rangt
sl-moon127	SL
slopecalculator	Fáðu nákvæmar niðurstöður til að finna halla
slumpsand-linklist	tenglalisti hjálpar þér að stjórna tenglum...
slypitch	Sly Pitch er einstakur spilakassa ráðgáta leikur
smallpasskeep	Lítið app til að vernda lykilorð
smallrnaseq	skipanalínu tól fyrir litla rna seq greiningu
smalltextpad	SmallTextPad er einfaldur Java textaritill með dulkóðun!
smart2fa	Opinn hugbúnaður fyrir 2FA heimild
smart-file-renamer	Endurnefna margar skrár með einum smelli á Windows, Mac og Linux!
smart-games-puzzle-challenge-3	Fínt safn af þrautum
smartholdem	SmartHoldem
smartscreen	Samskipti á samfélagsskjá
smartsheetcopy	Afritaðu möppur, blöð og skýrslur úr tilgreindri sniðmátamöppu eða möppu
smartstock	snjall lager
smee	Webhook farmsendingarþjónusta
smg-reminder	ItechArt-SMG áminning
smithproxy	Gegnsætt, hraðvirkt og eiginleikaríkt TCP/UDP/TLS umboð
smk-starter	Ágripið mitt
smonitor	Fylgjast með stöðu miðlara (og annað)
smplayer	Frábær fjölmiðlaspilari
smt	Stilltu SMT (hyper-threading) á kerfinu
snailfm	Caracol FM
ruben-snake-cmd	Skipanalínuútgáfa af klassíska Snake leiknum
snakeit	Hleðst eins og gamlir NOKIA símar!
snake-on-the-chase	Snake on the Chase er klassískur snákaleikur með viðbættum bragði
snake-ubalot	Snake fyrir TÖLVU
snap-channels-walkthrough	skref fyrir skref rásanna
snap-codelabs	Ubuntu codelabs offline síða til að nota og búa til skyndimyndir.
snapcraft	búa til skyndimyndir auðveldlega
snapcraft-pr	Stilltu og prófaðu Snapcraft togbeiðnir fljótt
rust-example	Snapcraft ryð dæmi
snapd	Púki og verkfæri sem gera skyndipakka kleift
snapd-hacker-toolbelt	Safn gagnlegra verkfæra fyrir forritara til að hakka á snapd
snapdiff	Berðu saman tvær smellur í debdiff stíl
snap-helpers	Prófa snap fyrir Python snap-helpers bókasafnið.
snaplint	Hreinsaðu myndirnar þínar
mega-pinball-windows	Fallegur pinball leikur
demo-notifications	Sýning á því að senda tilkynningar í skyndimyndum
snappy-debug	Verkfæri til að villa tafarlaust brot á reglum um innilokun
snappy-discover	Uppgötvaðu hraðvirk tæki á staðarnetinu
snappymcsnapface	prentar gildi env HOME breytunnar
snap-store	Snap Store er grafískt skrifborðsforrit til að uppgötva, setja upp og stjórna skyndimyndum á Linux.
snap-store-proxy-client	Snap Store Proxy admin viðskiptavinur
snap-store-proxy	Snjall skyndiminni umboð fyrir Snap Store
sutil	Tól til að vinna með snaps og snap store API
sniips	Ókeypis textabútur og flýtileiðarforrit fyrir öll tækin þín
snippetpixie	Litli stækkanlegur textabútahjálparinn þinn
snmp-exporter-generator	Prometheus SNMP Exporter Configuration Generator
snom-cli	Fjarstýrðu SNOM símanum þínum
snowball	Nýr hraðakappakstursleikur svipað og platformer loop/buzz wire leikur.
snowboarder	Klassískur 3D snjóbrettaleikur í spilakassa stíl.
snowflake	Grafískur SFTP viðskiptavinur og flugstöðvarkeppinautur með gagnlegum tólum
snowling	Keiluleikur með hátíðlegum blæ.
snow-on-me	Einfaldur vefþjónn sem þjónar jólasnjó á eftirspurn
socket-challenge	Socket Challenge
socketee	Prófaðu WebSocket sem viðskiptavin
socks-proxy	Socks Proxy Server
soda-pipes	Fínn tunnu tegund leikur
software-inventory-collector	Viðskiptavinur fyrir gagnasöfnun Charm Inventory Exporter
software-inventory-exporter	Útflytjandi á viðeigandi pakka og snaps í json í gegnum vefinn
sohochat	Soho Chat spjallhugbúnaður, þú getur ekki aðeins spjallað og eignast vini í gegnum SohoChat á ýmsum samskiptastöðvum, heldur einnig hringt ókeypis mynd- og símtöl eða sent og tekið á móti mikilvægum skrám hvenær sem er og hvar sem er.
soko3d	3D útgáfa af Sokoban fyrir Windows
sokoban-bk	Mjög fallegur herkænskuleikur
sokobanp	Sokoban leik útgáfa
sokomind3	Falleg útgáfa af Sokomind 3
solar2d	Solar2D leikjavél
solargraph	Ruby tungumálaþjónn
solarus	Ókeypis, opinn og létt leikjavél fyrir hasar-RPG.
solc	Solidity – samningsmiðað forritunarmál
solidcalculator	Solid reiknivél
solitaire-antics-ultimate	Safn kortaleikja
solitaire	venjulegur kortaleikur Solitaire, þekktur sem Patience eða Klondike
solitaire-ultra	Solitaire leikur fyrir Windows
solitude	Myrkt herbergi á skjáborðinu þínu
sololearn	Fljótleg og hrein leið til að nota SoloLearn
solr	Byrjaðu Solr sem gaffalinn púkk
solus-iso-downloader	ISO niðurhalari fyrir Solus Linux
solvespace	2d/3d parametric CAD
somafm-qt	SomaFM útvarpsspilari (somafm.com) (skrifborð, qt5)
somiibo	Somiibo er ókeypis sjálfvirkniforrit á samfélagsmiðlum
sommelier	Sýning á sommelier-handritinu, notað til að setja Windows forrit í bryggju með Wine.
sonar	Vantar Docker og Docker Hub tólið. Skoðaðu myndupplýsingar fljótt.
sonarr	Snjall PVR fyrir notendur fréttahópa og bittorrent
sonic-exe	Hræðilegur, dökkur og snúinn Sonic leikur
sonic3d	Sonic aðdáandi leikur
sonobus	SonoBus
sonr	Sonr er blockchain sem byggir á alheimi.
soracom	Soracom CLI
soscleaner	Hreinsar viðkvæm og óæskileg gögn úr núverandi sos-skýrslu
sos-notepad3	sos notepad3 er fljótur og léttur textaritill.
sosreport	Sos er stækkanlegt og flytjanlegt gagnasöfnunartæki fyrir stuðningsgögn
so-trello	Trello skipanalínuverkfæri
soundbox	Einfaldur hátalari
soundcloud9000	Næsta kynslóð SoundCloud viðskiptavinur
soundgrail	SoundGrail er ókeypis tónlistarfræðiforrit
souptoys	Ókeypis leikfangakassi fyrir skjáborðið þitt sem gerir þér kleift að leika þér með 100 leikföng
space-cadet	Reverse engineering 3D Pinball fyrir Windows - Space Cadet, Windows fylgileikur.
space-cadet-pinball	Reverse Engineering 3D Pinball fyrir Windows - Space Cadet
space-cat	Þessi hasarleikur krefst þess að þú hafir kattalík viðbrögð!
space-combat	SpaceCombat er opinn tölvuleikur
space	Skrifborðsforrit fyrir JetBrains Space
space-invaders-opengl	Endurgerð af klassíska spilakassaleiknum
spaceminer	3D geimnámuleikur.
spacepurge	Space Purge
spade	Tól til að stjórna skýjafötum
passiflora	Spagyrik Datenbank Passiflora
sparky	Smá leikur um hund sem er að reyna að eignast vini.
sparrow-wallet	Sparrow veski: Bitcoin veski
special-delivery	Dæmi um forrit á Mir stafla
spectacle	Skjámyndaforrit, kemur í stað KSnapshot
spedread	GTK hraðlestrarhugbúnaður: Lestu eins og hraðahlaupari!
speedtest-cli	Skipanalínuviðmót til að prófa netbandbreidd með speedtest.net
speed-test	Prófaðu nettengingarhraðann þinn og ping með speedtest.net CLI
speedungeon	Ein dýflissu, ein sprengja. Markmið þitt: Farðu þaðan í gegnum 25 herbergi
speedx	NETHRAÐASKJÁLI MEÐ NÖKUNARGÆTI fyrir örgjörva og vinnsluminni
speedy-duplicate-finder	Eldingarfljótur afrit finnandi fyrir Windows, Mac og Linux
spelunky	Spelunky Classic HD
spelunky-game	Spelunky er hellakönnun/fjársjóðsveiðileikur
sphere	Einangrun, greind og samþætting
spiderfoot	SpiderFoot er opinn uppspretta upplýsingaöflunar sjálfvirkniverkfæri (OSINT).
spider-solitaire	Spider Solitaire kortaleikur
spin-the-wheel	Snúðu hjólinu. Til að sjá hvað verður valið!
spirv-tools	SPIR-V Tools verkefnið veitir API og skipanir til að vinna úr SPIR-V einingum.
sploded	Sprungið
sploder	Sploder
sportogo-locker	Skápapúki fyrir Sportogo Locker Network
sports-mogul-baseball	Frábær eftirlíking af íþróttastjórnun
spot	Spotify viðskiptavinur fyrir GNOME skjáborðið.
spotifree	blettalaus
spotify	Tónlist fyrir alla
spotify-qt	Léttur Spotify viðskiptavinur sem notar Qt
spread	Þægileg dreifing á kerfisprófum (verkefnum)
spread-dns	útbreiðsluþjónn
spread-mir-ci	Þægileg dreifing á kerfisprófum (verkefnum)
spreedme	Spreed.ME hljóð-/myndsímtöl og ráðstefnueiginleiki fyrir Nextcloud Snap
spreed-webrtc-snap	WebRTC hljóð-/myndsímtöl og fundur
springbok-test	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
springlobby-nsg	SpringLobby - SpringRTS anddyrið
sqlc	SQL þýðandi
sqlitebrowser	Gagnagrunnsvafri fyrir SQLite
sqlite-database-server	SQLite flytjanlegur gagnagrunnsþjónn fyrir marga gagnagrunna
sqlitely	SQLite gagnagrunnstól
sqlitr	sqlitr er léttvægt fyrirspurnartól fyrir SQLite. Það var búið til sem kynningu fyrir neilotoole/xcgo.
sqlmap-cli	Sjálfvirk SQL innspýting og gagnagrunnsstýringartæki
sqlmap	Sjálfvirk SQL innspýting og gagnagrunnsstýringartæki
sqlow	CLI gagnagrunnsskemaflytjandi sem er sama um útgáfur
squarecloud	Square Cloud skipanalínuverkfæri.
squarehead	SquareHead klassískur leikur
squeeze-vid	Staðlaðu myndbönd í lágmarks vörpunsamhæf gæði.
squid-gary	Squid er skyndiminni umboð fyrir vefinn sem styður HTTP, HTTPS, FTP og fleira.
squiid	Squiid er eininga reiknivél skrifuð í Rust.
squirrelbot	Telegram láni sem geymir tengla sem þú sendir
squirrelsql	Java SQL viðskiptavinur fyrir hvaða gagnagrunn sem er samhæfður JDBC
srsran	srsRAN er 4G útvarpshugbúnaðarsvíta þróað af SRS.
srututu	RPG borðspil
sscreen	Samskipti á samfélagsskjá á mörgum skjám
ssd-benchmark	Ofur einfalt diskaviðmið
ssdp	UPNP netþjónn
s-search	Opnaðu vefleit í flugstöðinni þinni.
nps-ssh-askpass	Skipti á milli palla fyrir x11-ssh-askpass.
ssh-audit	ssh endurskoðun
sshesame	Auðvelt að stilla og nota SSH honeypot
sshguard-robertliu	Verndar gegn brute force árásum gegn ssh
ssh-mitm	Maður í miðjunni SSH netþjónn fyrir öryggisúttektir og malware greiningu
sshoot	Stjórna Shuttle VPN fundum
sshpiperd	Andstæða umboðið sem vantar fyrir ssh
sshtron	Tron fjölspilun í gegnum ssh
ssmtp-snap	Einstaklega einfalt MTA til að senda kerfisskilaboð á póstmiðstöð
ssmtp-gael	Einstaklega einfalt MTA til að senda kerfisskilaboð á póstmiðstöð
ssocks	skuggar
ss-qt	Dökkir sokkar
stacc	Stacc CLI staðgengill
stacker	Lyftari
stacks-task-manager	Persónulegur kanban til að gera og verkefnastjóri
stakecoind	Stakecoin púki
stalefish	Taugavísindaverkfæri
standarddeviationcalculator	SD reiknivél hjálpar þér að reikna út staðalfrávik í skrefum,
standard-notes	Staðlaðar athugasemdir
starcraft-brood-war	Enduruppgötvaðu klassíska stefnu í rauntíma
stardate-snap	Skipanalínutæki til að breyta hefðbundnum tíma í stjörnutíma.
starlings-engine	starling vél
star-raptor	Eyða öllum óvinum á svæðinu
starruler2	Stórfellt 4X/RTS sett í geimnum
starscape	Windows útgáfa af þessum leik
stars	STJÖRNUR! 4X tæknileikurinn
start-and-doc	Byrja og skjal
stategovopps	Vísitala yfir hverja verslunarsíðu í Bandaríkjunum
static-blog-app	Static blog app byggt með nextjs, markdown, tailwindCSS og tauri
statping	Tölfræðivöktun netþjóns með stöðusíðu
statping-ng	Statting-ng miðlara eftirlit með stöðusíðu
stats	Setur tölur saman í endurteknum texta
statup	Statup miðlara eftirlit með stöðusíðu
std	Skrifborðsforrit fyrir verkefni og glósur
stdlib	Fortran Standard Library
steady-tun	Örugg TLS göng með tilbúnum andstreymistengingarlaug
steam	Steam Software Distribution Service Sjósetja
stegano	Mynd og hljóð stiganography
stella-he-hello	GNU Halló, halló, smelltu
stellarium-daily	Planetarium á borði
stellarium-plars	Ókeypis og opinn hugbúnaður fyrir plánetuver
step	Gagnvirkur eðlisfræðihermir
step-mania	StepMania er ókeypis og opinn uppspretta taktleikur á vettvangi
step-stephenmuss	Núlltraust svissneskur herhnífur til að vinna með X509, OAuth, JWT, OATH OTP osfrv.
stereogram-lab	Stereogram Generator fyrir eina mynd
steve-test-snap	Snapið sem ég nota til að prófa
stifts-terminal	Terminal umsókn
stillac-play	Tónlist streymi í Kamerún
stilrocket	StilRocket
stmg	Endurskoðað safn af klassískum leikjum
st-novice	augnablik david próf app
stochsd-electron	stochsd rafeind
stochsim	Kerfisvirkni uppgerð
stock-split-calendar	Sýnir framtíðar- og fyrri arð af hlutabréfum opinberra fyrirtækja
stonscipap-snap	Tveggja spilara útgáfa af 'Stone, Scissors, Paper'.
store-admin	Canonical snap-store-proxy viðskiptavinur og stjórnunartól
store-test-ubuntu-desktop	Notað til að prófa lýsigögn geymslu á Ubuntu Desktop
storjshare	landbúnaðargögn á Storj netinu.
story	saga CLI
strace-static	greiningar-, villuleit og leiðbeiningar um notendarými
strandedii	Í Stranded II stendurðu enn og aftur frammi fyrir lífsbaráttunni.
strange-attractors	Skrýtinn aðdráttarafl leikur
strawberryssg	Strawberry var skipt út fyrir Gotham
streambop	StreamBop
stream-monitor	Fylgstu með vefstraumunum þínum
streamsheets	Pall án kóða til að vinna úr streymigögnum í töflureikniviðmóti
streamtuner2-dev	Listavafri fyrir netútvarp, hljóð- og myndútsendingar
street-shuffle	Street Shuffle ráðgáta leikur
stretchly	The Break Reminder app
strict-exam-browser-sample	Næsti strangur vafri
strimio-desktop	Strimio er ókeypis fjölmiðlaspilari fyrir macOS, Windows og Linux sem gerir þér kleift að spila og skipuleggja strauma þína í beinni sem aldrei fyrr
stringrunner	Einlínulýsing
stringsnap	Stutt samantekt sem getur verið 78 stafir að lengd
strongbox	Stjórnaðu Hashicorp Vault leyndarmálum á öruggan hátt í hvíld
strongswan-ipsec	Strongswan ipsec/vpn
structa	Lítið, hálftöfrandi tól til að greina uppbyggingu stórra gagnaskráa
struggle-compare3	Mappasamanburður, skráarsamanburður, baráttasamanburður útgáfa 3, gagnleg fyrir kóða.
strunkg-ros-0-basic	Dæmi um ROS
strunkg-ros-1-git-repo	Sýnir hvernig á að búa til snap úr git geymslu sem er dregið inn í vinnusvæðið.
sttr	Cli forrit á vettvangi til að framkvæma ýmsar aðgerðir á streng.
stubb	Docker tól frá CircleCI.
stunnel5	stunnel er opinn uppspretta þverpallaforrit sem er notað til að veita alhliða TLS/SSL jarðgangaþjónustu.
stunt-car-remake	Endurgerð á Stunt Car tölvuleiknum
stuntrally	Stunt fundur
suanpan	Opinn uppspretta, samhliða og ólíkur endanlegur þáttur greiningarrammi
subdominator	CLI tól til að greina undirlénakaup
subitoo	Verðmæling fyrir Subito.it
sublime-merge	Hittu nýjan Git viðskiptavin, frá höfundum Sublime Text
sublime-text	Háþróaður textaritill fyrir kóða, álagningu og prósa.
submission-service	Sendingarþjónusta til að samþykkja niðurstöður gátreitsins
submix	SubMix marglaga hljóðritari
subsonic-arubislander	Persónulegur, allt-í-einn fjölmiðlastraumspilari.
subsurface	Opið köfunarforrit fyrir afþreyingar, tækni- og frjálsa kafara
subsync	Texti raddsamstilling
subterfuge	Tilraun til að deila leyndarmálum Shamir með því að nota SLIP39 útfærsluna.
subtitld	Subtitld er hugbúnaður til að búa til, umrita og breyta texta.
suckit	Að sjúga
sudoku-game	Sudoku 9x9 leikur
sudoku-rs	Sudoku beint í flugstöðinni
sudoku-windows	Spilaðu Sudoku á tölvunni þinni eða prentaðu út leikjablöðin til að spila á gamaldags hátt.
sudreg	Skoðaðu dómstólaskrá lýðveldisins Króatíu
sugarizer	Sykur
suid-wrapper	Tól til að búa til tvöfalda keyrslu til að nota með suid fánanum
suligap-python3-qrcode	Pure Python QR Code Generator
sumatrapdf	SumatraPDF er lítið, hratt, sérhannaðar og ókeypis.
super-burgertime	Klassískur spilakassaleikur
supercalc-snap	Öflugt safn útreikninga fyrir Ubuntu.
super-candy-cruncher	Fallegur hasar- og ráðgáta leikur
supercell	Hugbúnaður til að umbreyta óreglulegum kristallabyggingum.
super-chat	Ofurspjall
super-cratebox	spilakassa leikur
superintendantscout	Super Intendant Scout er aðstoðarmaður við að skipuleggja matseðla fyrir skátastarf.
supermariobros-game-builder	Þetta er trúr uppgerð af leiknum Super Mario Bros. upprunalega á Nintendo Entertainment System.
supermarket	Matvörubúð uppgerð
superperms	Leitaðu að Minimal Super Permutations
superproductivity	ofurframleiðni
supersim	Skemmtilegur stórmarkaðshermileikur.
super-smash-bros-crusade	Super Smash Bros. Crusade er aðdáandi þróað verkefni
super-smash-land	GameBoy stíl leikur
super-space-invaders	Klassískur spilakassaleikur
super-star-trek	Klassísk textaútgáfa af Super Star Trek
super-tower-rush	Farðu eins langt niður í turninn og þú getur áður en banvænu topparnir grípa þig!
supertpv-branch-server	Bracnh Server fyrir SuperTPV
supertpv-desktop-client	supertpv-skrifborð viðskiptavinur
supertpv-label-printer	supertpv merki prentari
supertpv-print-server	Prentþjónn fyrir SuperTPV
super-track	Superpista
supertux	SuperTux er klassískur opinn uppspretta 2D hliðarskrollandi stökk- og hlaupaleikur í svipuðum stíl og upprunalegu Super Mario leikirnir
supertuxkart	3D spilakassakappakstursleikur með ýmsum persónum, brautum og leikjastillingum
super-u-plan	Gagnlegt tæki til að skipuleggja og stjórna framvindu verkefna.
surc	Snap Upstream Version Checker
opensurge	Skemmtilegur 2D retro platformer innblásinn af Sonic leikjunum og leikjasköpunarkerfi
surl	Þunnur Ubuntu Store API umbúðir.
survivor-reborn	Survivor er kominn aftur!
sushido	Veiddu fisk og gerðu sushi! Skolaðu og endurtaktu
susi-api	Advantech bjó til SUSI API til að einfalda þróun forrita og bjóða upp á einstaka þjónustu með Advantech IoT tækjum
suside	Suside ritstjóri
suspended-sentence	Hanging Sentence: Bendi-og-smelltu ævintýraleikur settur á geimskip
svg2pts	Skipanalínuforrit til að breyta SVG í punkta.
svg-labels	SVG Print Label Generator
svgo	tól sem byggir á Node.js til að fínstilla SVG vektorgrafíkskrár
svix	Svix CLI tól
svlint	Linter SystemVerilog
svls	SystemVerilog tungumálaþjónn
swach	Öflugt litastjórnunartæki fyrir nútímann.
swarm-api	Einfalt hvíldar-API fyrir Docker swarm
swed	Háþróaður textaritill.
sweeper	sögu og tímabundinn skráahreinsir
sweethome3d-homedesign	Innanhússhönnunarforrit til að teikna húsáætlanir og raða húsgögnum
swell-foop	Hreinsaðu skjáinn með því að fjarlægja hópa af lituðum og löguðum hlutum
sw-hive	SW-Hive
swiftbay-cyber-client	Swiftbay-Cyber-Client
swift-ring-checker	Athugaðu hraða hringi á Swift þyrpingunni sem er settur í Juju.
swi-prolog	Alhliða innleiðing á Prolog forritunarmálinu
swopi-issuer	Viðskiptavinur sem gefur út Swopi
symboleditor	Ritstjóri krosssaums tákns
symbolic-preview	Táknfræði auðveld
symbolize	Haltu stillingarskránum þínum samstilltum á milli vinnustöðva með því að nota táknræna tengla
symbol-tax	Skattmerki
symgrpmad	Leikur byggður á hugmyndinni um skarast samhverfuhópa.
symphytum	Auðvelt að nota persónulegan gagnagrunnshugbúnað
sync-agent	Infobaleen Sync umboðsmaður
sync-and-dump-s3	Samstilltu AWS S3 fötu og hlaðið upp MySQL og MongoDB sorphaugum
syncappkiosk	Sync App söluturn
syncdns	Samstilltu auðveldlega DNS-færslur fyrir innviði þína á milli margra skráa
syncdraw	SyncDraw - ANSI teikniforritið
syncfusion-flutter-gallery	Syncfusion Flutter kynningar
syncplay	Viðskiptavinur/þjónn til að samstilla spilun fjölmiðla á mörgum tölvum
syncterm-linux	Ubuntu útgáfa af Syncterm - BBS flugstöðinni keppinautur
syncthing-arubislander	Óaðfinnanlegur opinn uppspretta skráarsamstillingu
syncthing-gael	Óaðfinnanlegur opinn uppspretta skráarsamstillingu
syn	Einlínu lyftuvöllur fyrir Syntesys
synfigstudio	Opinn hugbúnaður fyrir 2D hreyfimyndir
synthesijer	Synthesijer er Java til VHDL/Verilog HDL þýðandi
synthetic-things	Frábær verksmiðja til að búa til tilbúna ávexti.
syscoin-core	smelltu á syscoin-kjarna
htop-pro	NETHRAÐASKJÁLI MEÐ NÖKUNARGÆTI fyrir örgjörva og vinnsluminni
sysrepo-netopeer-gen	sysrepo og netopeer snap
sysrepo-netopeer-shejoshi	sysrepo og netopeer snap
systemg	Kerfi G veitir myndrænt viðmót fyrir UNIX skráarkerfið.
system-information	Fladderforrit til að sýna Linux tölfræði
system-tool	Skoða kerfisupplýsingar
szyszka	Szyszka - fljótur endurnefnari skráar skrifaður í Rust
t2sz	Það þjappar hvaða skrá sem er í leitarhæfa .zstd skrá
tabela	Einfalt forrit sem sýnir CSV efni í töflu.
table	Tafla
tabletop-club-unofficial	Opinn uppspretta fjölspilunarborðshermir
codechenx-tv	tv (borðskoðari) í afmarkaða textaskrá (csv, tsv, osfrv.) í flugstöðinni
tablexplore	plott og gagnagreiningarpakka
tabula	Tabula hjálpar til við að losa um gagnatöflur sem eru fastar í PDF skjölum.
tabular	Þjálfa ASCII gögn í töfluformi, svo sem úttak Docker ps eða netstat -tanp.
tacentview	Myndaskoðari/ritstjóri fyrir tga, png, apng, exr, dds, pvr, ktx, ktx2, astc, pkm, qoi, gif, hdr, jpg, tif, ico, webp og bmp skrár.
tactics	Byggðu upp fótboltalínuna þína
tagger	Merktu tónlistina þína
taisho	Skipahlaupari og framkvæmdastjóri Urbit OS
taiwan-consensus	Samstaða á Taívan
talevideo	Auðveldasta leiðin til að búa til vörumyndband
tali	Kastaðu teningum og skoraðu stig
tamtam-app	TAM Tam
tanda	Skipanalínutólið til að útgáfa flutter verkefnið þitt fylgir venjulegri merkingarútgáfu.
tandem	Sýndarskrifstofa fyrir fjarteymi
tangled-slug	Rökfræði leikur um teygjanlega snigla og sveppi
tango	Skipanalínutól til að dansa með aðgangsskrám 💃
tank-d8	Að ofan og niður 2D spilakassa bullethell aðgerð
tanks-of-freedom	RTS tækni leikur
tank-warriors	Akstur, skot, sprengingar og forritun - allt í einum leik
tapaal	TAPAAL er ókeypis hugbúnaður til að móta og sannreyna Petri net
tapyrus-core	blockchain sem er stjórnað af sambandsríkinu
tapyrus-signer	Tapyrus undirritaður
tarantool	Gagnagrunnur í minni og Lua forritaþjónn
tarquin	Tímalénsgreiningaraðferð fyrir segulómun litrófsgreiningargagna
