0ad	古代戰爭即時策略遊戲
ser2net-plars	ser2net - 網路代理的序列埠
serfs	Serfs 是一款新的即時策略/建築遊戲
serialdatahandler	單行電梯推廣為您帶來精彩快照
serialporttool	一個跨平台的串口調試工具。
serialporttoolgui	一個跨平台的串口調試工具。
serial-vault	串行保管庫服務
seriousshooter	類似《英雄薩姆》的 3D FPS
serve	serve 在目前目錄中啟動一個簡單的暫存靜態檔案伺服器
serveo	serveo.net 非官方 CLI
serveraccess	透過telnet和http訪問公司伺服器
server-go	OpenIoTHub 物聯網伺服器。
server-stats	伺服器統計
servy	您最好的 cli 操作追蹤應用程式
sessioncharts	SessionCharts 是一款歌本應用程序，用於查看歌詞表、和弦圖表、旋律、標籤和曲目列表。
session-desktop	會話工作區
se-test-tools	一組用於測試的工具
sf2jira	將 Salesforce 案例新增至您的 Jira 專案。
sf-haproxy	可靠、高效能的 TCP/HTTP 負載平衡器
sftpclient	使用FTP、FTPS、SFTP和雲端服務（包括SSH終端）傳輸文件
sfxr	建立音效
sge-ifpr	SGE-IFPR - 教育管理系統
sha3384	計算檔案的 sha3_384 哈希值。
shadered	輕量級、跨平台、功能齊全的著色器 IDE
shadowsocks	幫助您繞過防火牆的快速隧道代理
shadowsocks-electron	Shadowsocks GUI 具有跨平台桌面支援
shadowsocks-libev	Shadowsocks libev 端口
shadowsocks-rust	Shadowsocks 生鏽港
shadowtest	用於測試 Shadowsocks 金鑰的 Web 服務
shanepelletier-delta	具有 git、diff 和 grep 輸出語法高亮顯示功能的分頁器
shanepelletier-hello-hardware-observe	一個監視硬體的簡單快照應用程式。
rjd-shapeit	分段單倍型估計與插補工具
sharaga	大學申請
share	只需一個命令即可使用雲端提供者共享您的文件
share-preview	在本地測試社交媒體卡
sharik-app	用於透過本地網路共享檔案的開源跨平台解決方案
shattered-pixel-dungeon	令人驚嘆的 Pixel Dungeon 的 LibGDX 版本
shcli	Socialhome 的 Python 用戶端。
sheepshaver	MacOS SheepShaver 模擬器 - 模擬 PowerPC Mac
shell2http	透過HTTP伺服器執行shell命令
shell2telegram	從命令列建立 Telegram 機器人
shell-assistant	SSH 和 SFTP 用戶端、shell 終端、遠端檔案管理器和程式碼編輯器。
shellcheck	一個shell腳本靜態分析工具
shellsnake	一個簡單的遊戲
shenko	基於Python程式語言的開源社群
shetech-sweetstyle	Snap 應用程式示範 SheTech-2019 的 SnapCraft
shfmt	shell 解析器、格式化程式和解釋器 (POSIX/Bash/mksh)。
shipgunner	海戰射擊遊戲；戰艦射擊遊戲
shisensho	ShisenSho 是一款類似麻將的遊戲
username	隱瞞
shmem-test-client	系統共享記憶體測試客戶端v.
shmem-test-server	用於系統共享記憶體測試的伺服器 v.
flyre	Flyre 是一款像素藝術太空射擊遊戲。
underwater-battles	Underwater Battles 是一款 2D RPG 射擊遊戲
shortpwd	列印目前工作目錄，中間用省略號截斷。
shortwave	尋找並收聽網路廣播電台
shotcut	免費、跨平台、開源影片編輯器
shotwell	數位照片管理器
should-i-watch-this	在線詢問電影或節目是否值得觀看
shoutrrr	發送通知變得簡單。
ike-qt-lts	Shewsoft VPN 管理器
sickgear	疾病
siff	用於編寫、出版和管理圖書專案的唯一工具
sight	檢查文件
signageful-player-wayland	數位看板系統
signal-desktop	暢所欲言 - 私人信使
signed	用於簽署、驗證和顯示共享密碼的命令列工具。以及公鑰管理。
signs-html5-client	HTML5 訊號摘要
siilihai-client	圖形網路論壇客戶端
silaty	美麗的祈禱提醒
simant	螞蟻太像人類了，真是可惜
simcaffe	簡單的測試咖啡即可獲得令人驚嘆的快照
simcity-2000	經典的城市建設遊戲
simclimat	模擬氣候
simili-finder	找到同名文件
simplebudget	使用信封系統的簡單預算計劃
simple-caio1982	這是測試快照
simple-calculator-4u	簡單計算器-4u
simple-chat	簡單聊天
simple-cprog	簡單的C程序
go-simple	超簡單的應用程式
simple-flashcards	適用於所有平台的極簡抽認卡應用程式
simplekey	密碼/密鑰產生器和雜湊表。
simplenote	最簡單的筆記方法。
simple-notepad	簡單記事本
simple-openvpn-client	一個簡單的 Openvpn 用戶端
simpleos	簡單的
simple-pwgen	基於 Python3 的非常簡單的 GUI 應用程序，用於產生安全且隨機的密碼。
simple-py	簡單的C程序
simplescreenrecorder	超導系統
simplescreenrecorder-brlin	功能豐富的螢幕錄影機
simplestreams	使用 Simple Streams 資料的函式庫和工具
simple-todo	簡單的基於終端的任務應用程式
simpletraker	simpletraker 很酷的應用程式
simple-web-server	一個簡單的（靜態）Web 伺服器
simplyfortran	簡單的 Fortran 3
sims-mod-updater	模擬市民模組更新程序
simtetris	俄羅斯方塊遊戲的簡單版本
simufisica	物理計算模擬平台。
simulationstarterkit-demo	由SimulationStarterKit產生的3D平台演示
simutrans-game	免費的交通模擬遊戲
singularityapp	奇點應用程式
siphash	計算 SipHash 1-3、2-4 等。使用給定的密鑰。
sirrujak-sciencefair	科學公正
sispmctl	適用於 Linux 的 Silver Shield PM 控制
sitemap-generator	網站地圖產生器桌面應用程式 |網站地圖.xml
sit-lpc-app	坐LPC應用程式
sixd-node-snap	SixD 節點演示應用程式
skaffold	簡單、可重複的 Kubernetes 開發
skanlite	基於KSane後端的影像掃描儀
skanpage	多頁文件掃描應用程式
skcalculator	我的測試應用程式
skrifa	使用網路技術建構的簡單文字處理器
skrifa-lite	使用網路技術建構的簡單文字處理器
skrooge	Skrooge是KDE開發的個人財務管理器
skycheckers	將敵人從舞台上炸下來
skye	來自 Innatical 的快速、美觀且私密的瀏覽器
skype	現在使用 Bing GPT-4 連接、建立、聊天和發現
skyperious	Skype 聊天記錄工具
slack	21 世紀的團隊溝通。
slack-git-compare	比較 Slack 中的 git 引用
slack-term	適用於您終端機的 Slack 用戶端
slamit-pinball-big-score	美麗的彈珠遊戲
slapform	Slapform 為您的表單提供後端。
slashlock	易於使用的文件和資料夾加密
slcli	基於 Python 的 SoftLayer API 工具。
sl-doismellburning	SL(1)：改掉打字錯誤的壞習慣
sleek	Elegant 是一個基於 todo.txt 語法的開源任務管理器 (FOSS)。它適用於 Linux
slides	在您的終端中滑動。
slitherling	一個簡單的貪吃蛇遊戲
sliver	對抗性仿真框架
sl-jiphex	改掉打字錯誤的壞習慣
sl-moon127	SL
slopecalculator	獲得準確的結果以找到坡度
slumpsand-linklist	連結列表可以幫助您控制連結...
slypitch	Sly Pitch 是一款獨特的街機益智遊戲
smallpasskeep	用於密碼保護的小型應用程式
smallrnaseq	用於小 rna seq 分析的命令列工具
smalltextpad	SmallTextPad 是一個簡單的具有加密功能的 Java 文字編輯器！
smart2fa	用於2FA授權的開源軟體
smart-file-renamer	在 Windows、Mac 和 Linux 上一鍵重命名許多檔案！
smart-games-puzzle-challenge-3	不錯的謎題合集
smartholdem	智慧德州撲克
smartscreen	社交螢幕互動
smartsheetcopy	從指定的範本資料夾或資料夾複製資料夾、工作表和報表
smartstock	智慧股票
smee	Webhook 有效負載交付服務
smg-reminder	艾德藝-SMG提醒
smithproxy	透明、快速且功能豐富的 TCP/UDP/TLS 代理
smk-starter	我的摘要
smonitor	監控伺服器狀態（和其他事情）
smplayer	一個很棒的媒體播放器
smt	在系統上設定SMT（超線程）
snailfm	卡拉科爾調頻
ruben-snake-cmd	經典貪吃蛇遊戲的命令列版本
snakeit	像舊諾基亞手機一樣充電！
snake-on-the-chase	《貪吃蛇追逐》是一款經典的貪食蛇遊戲，但又增添了更多風味
snake-ubalot	貪吃蛇電腦版
snap-channels-walkthrough	渠道的一步一步
snap-codelabs	用於使用和建立快照的 Ubuntu Codelabs 離線站點。
snapcraft	輕鬆建立快照
snapcraft-pr	快速設定和測試 Snapcraft 拉取要求
rust-example	Snapcraft 生鏽範例
snapd	支援即時包的守護進程和工具
snapd-hacker-toolbelt	供開發人員破解 snapd 的有用工具集合
snapdiff	以 debdiff 風格比較兩個快照
snap-helpers	Python snap-helpers 函式庫的測試 snap。
snaplint	清理你的照片
mega-pinball-windows	美麗的彈珠遊戲
demo-notifications	在快照中發送通知的演示
snappy-debug	用於調試即時遏制策略違規的工具
snappy-discover	發現本地網路上的快速設備
snappymcsnapface	列印 env HOME 變數的值
snap-store	Snap Store 是一個圖形桌面應用程序，用於在 Linux 上發現、安裝和管理 Snap。
snap-store-proxy-client	Snap Store Proxy 管理客戶端
snap-store-proxy	Snap Store 的智慧型快取代理
sutil	用於使用快照和快照存儲 API 的實用程序
sniips	適用於您所有裝置的免費文字片段和快捷方式應用程式
snippetpixie	您的可擴充文字片段小助手
snmp-exporter-generator	Prometheus SNMP 匯出器設定產生器
snom-cli	遠端控制您的 SNOM 手機
snowball	類似平台遊戲循環/嗡嗡聲線遊戲的新速度賽車遊戲。
snowboarder	經典街機風格的3D滑雪遊戲。
snowflake	具有有用實用程式的圖形 SFTP 用戶端和終端模擬器
snowling	充滿節慶氣氛的保齡球比賽。
snow-on-me	一個簡單的 Web 伺服器，按需提供聖誕雪
socket-challenge	套接字挑戰
socketee	作為客戶端測試 WebSocket
socks-proxy	襪子代理伺服器
soda-pipes	不錯的桶型遊戲
software-inventory-collector	Charm 庫存出口商資料收集的客戶
software-inventory-exporter	透過網路匯出 apt 套件和 json 格式的 snap 套件
sohochat	Soho Chat即時通訊軟體，您不僅可以在各種通訊終端上透過SohoChat聊天交友，還可以隨時隨地進行免費視訊和語音通話或收發重要文件。
soko3d	Windows 版推箱 3D 版本
sokoban-bk	非常精美的策略遊戲
sokobanp	推箱子遊戲版本
sokomind3	美版Sokomind 3
solar2d	Solar2D 遊戲引擎
solargraph	Ruby 語言伺服器
solarus	一款免費、開源、輕量的動作角色扮演遊戲引擎。
solc	Solidity－面向契約的程式語言
solidcalculator	實體計算器
solitaire-antics-ultimate	卡牌遊戲合集
solitaire	常見的紙牌遊戲紙牌遊戲，稱為 Patience 或 Klondike
solitaire-ultra	適用於 Windows 的紙牌遊戲
solitude	桌面上的黑暗房間
sololearn	快速、乾淨地使用 SoloLearn 的方法
solr	將 solr 作為分叉守護程序啟動
solus-iso-downloader	適用於 Solus Linux 的 ISO 下載器
solvespace	2d/3d 參數化 CAD
somafm-qt	SomaFM 廣播播放器 (somafm.com)（桌面版、qt5）
somiibo	Somiibo 是一款免費的社交媒體自動化應用程式
sommelier	侍酒師腳本的演示，用於將 Windows 應用程式與 Wine 對接。
sonar	缺少 Docker 和 Docker Hub 實用程式。快速查閱影像資訊。
sonarr	適用於新聞群組和 BitTorrent 用戶的智慧 PVR
sonic-exe	一款恐怖、黑暗、扭曲的索尼克遊戲
sonic3d	索尼克粉絲遊戲
sonobus	索諾總線
sonr	Sonr 是一個基於 Cosmos 的區塊鏈。
soracom	Soracom CLI
soscleaner	從現有 sosreport 中清除敏感和不需要的數據
sos-notepad3	sos notepad3 是一個快速且輕量級的文字編輯器。
sosreport	Sos是一個可擴展、可移植的支援資料收集工具
so-trello	Trello 命令列工具
soundbox	一個簡單的揚聲器
soundcloud9000	下一代 SoundCloud 用戶端
soundgrail	SoundGrail 是一款免費的音樂理論應用程式
souptoys	桌面上的免費玩具盒，可讓您玩 100 個玩具
space-cadet	適用於 Windows 的逆向工程 3D Pinball - Space Cadet，一款 Windows 配套遊戲。
space-cadet-pinball	適用於 Windows 的逆向工程 3D Pinball - Space Cadet
space-cat	這個動作遊戲需要你有貓咪一樣的反應能力！
space-combat	SpaceCombat 是一款開源 PC 遊戲
space	JetBrains Space 桌面應用程式
space-invaders-opengl	經典街機遊戲的重製版
spaceminer	3D太空採礦遊戲。
spacepurge	空間淨化
spade	一款管理雲端儲存桶的工具
passiflora	Spagyrik Datenbank 西番蓮
sparky	一個關於一隻狗試圖交朋友的小遊戲。
sparrow-wallet	Sparrow 錢包：比特幣錢包
special-delivery	Mir 堆疊上的範例應用程式
spectacle	螢幕截圖實用程序，取代 KSnapshot
spedread	GTK速讀軟體：像速跑者一樣閱讀！
speedtest-cli	使用 speedtest.net 測試互聯網頻寬的命令列介面
speed-test	使用 speedtest.net CLI 測試您的網路連線速度和 ping
speedungeon	一個地牢，一顆炸彈。你的目標：穿過 25 個房間離開那裡
speedx	具有 CPU 和 RAM 使用實用程式的網路速度監控器
speedy-duplicate-finder	適用於 Windows、Mac 和 Linux 的快速重複查找器
spelunky	洞穴探險經典高清
spelunky-game	Spelunky 是一款洞穴探索/尋寶遊戲
sphere	隔離、智慧、集成
spiderfoot	SpiderFoot 是一個開源情報自動化工具（OSINT）。
spider-solitaire	蜘蛛紙牌紙牌遊戲
spin-the-wheel	旋轉輪子。看看會選擇什麼！
spirv-tools	SPIR-V 工具專案提供了用於處理 SPIR-V 模組的 API 和命令。
sploded	爆炸了
sploder	史普洛德
sportogo-locker	Sportogo Locker Network 的 Locker 守護程式
sports-mogul-baseball	出色的體育管理模擬
spot	適用於 GNOME 桌面的 Spotify 用戶端。
spotifree	無污漬
spotify	適合所有人的音樂
spotify-qt	使用 Qt 的輕量級 Spotify 用戶端
spread	方便地分配系統範圍的測試（任務）
spread-dns	傳播伺服器
spread-mir-ci	方便地分配系統範圍的測試（任務）
spreedme	Nextcloud Snap 的 Spreed.ME 音訊/視訊通話和會議功能
spreed-webrtc-snap	WebRTC 音訊/視訊通話和會議
springbok-test	單行電梯推廣為您帶來精彩快照
springlobby-nsg	SpringLobby - SpringRTS 大廳
sqlc	SQL 編譯器
sqlitebrowser	SQLite 資料庫瀏覽器
sqlite-database-server	用於多個資料庫的 SQLite 便攜式資料庫伺服器
sqlitely	SQLite 資料庫工具
sqlitr	sqlitr 是 SQLite 的一個簡單查詢工具。它是作為 neilotoole/xcgo 的演示創建的。
sqlmap-cli	自動SQL注入與資料庫控制工具
sqlmap	自動SQL注入與資料庫控制工具
sqlow	不關心版本的 CLI 資料庫架構遷移器
squarecloud	Square Cloud 命令列工具。
squarehead	方頭經典遊戲
squeeze-vid	將視訊標準化為最低的投影相容品質。
squid-gary	Squid 是支援 HTTP、HTTPS、FTP 等的 Web 快取代理。
squiid	Squiid 是一個用 Rust 寫的模組化計算器。
squirrelbot	儲存您發送的連結的 Telegram 機器人
squirrelsql	適用於任何 JDBC 相容資料庫的 Java SQL 用戶端
srsran	srsRAN 是 SRS 開發的 4G 無線電軟體套件。
srututu	角色扮演棋盤遊戲
sscreen	多螢幕社交螢幕互動
ssd-benchmark	超簡單的磁碟基準測試
ssdp	UPNP伺服器
s-search	在您的終端機中開啟網路搜尋。
nps-ssh-askpass	x11-ssh-askpass 的跨平台替代品。
ssh-audit	ssh審計
sshesame	易於設定和使用的 SSH 蜜罐
sshguard-robertliu	防止針對 ssh 的暴力攻擊
ssh-mitm	用於安全審計和惡意軟體分析的中間人 SSH 伺服器
sshoot	管理 Shuttle VPN 會話
sshpiperd	缺少 ssh 反向代理
sshtron	透過 ssh 進行 Tron 多人遊戲
ssmtp-snap	用於將系統訊息傳送到郵件中心的極其簡單的 MTA
ssmtp-gael	用於將系統訊息傳送到郵件中心的極其簡單的 MTA
ssocks	陰影
ss-qt	深色襪子
stacc	Stacc CLI 佔位符
stacker	堆高機
stacks-task-manager	您的個人待辦事項看板和專案經理
stakecoind	權益幣守護程式
stalefish	神經科學工具
standarddeviationcalculator	SD計算器可協助您逐步計算標準差，
standard-notes	標準註釋
starcraft-brood-war	重新發現即時戰略經典
stardate-snap	用於將常規時間轉換為恆星時間的命令列工具。
starlings-engine	椋鳥發動機
star-raptor	消滅區域內所有敵人
starruler2	太空中的大型 4X/RTS 場景
starscape	該遊戲的 Windows 版本
stars	明星！ 4X策略遊戲
start-and-doc	開始並記錄
stategovopps	美國各州購物網站的索引
static-blog-app	使用 nextjs、markdown、tailwindCSS 和 tauri 建立的靜態部落格應用程式
statping	透過狀態頁面統計伺服器監控
statping-ng	Statting-ng 伺服器狀態頁面監控
stats	將重複文字中的數字組合在一起
statup	透過狀態頁面進行 Statup 伺服器監控
std	用於任務和筆記的桌面應用程式
stdlib	Fortran 標準庫
steady-tun	具有準備好的上游連線池的安全 TLS 隧道
steam	Steam 軟體分送服務啟動器
stegano	影像和音訊隱寫術
stella-he-hello	GNU 你好，你好，啪
stellarium-daily	桌面天文館
stellarium-plars	免費開源天文館軟體
step	互動式物理模擬器
step-mania	StepMania是一款免費開源的跨平台節奏遊戲
step-stephenmuss	零信任瑞士軍刀，適用於 X509、OAuth、JWT、OATH OTP 等。
stereogram-lab	單一影像立體圖產生器
steve-test-snap	我用於測試的快照
stifts-terminal	終端應用
stillac-play	喀麥隆的音樂串流媒體
stilrocket	斯蒂爾火箭
stmg	重溫經典遊戲合輯
st-novice	即時大衛測試應用程式
stochsd-electron	斯托赫電子
stochsim	系統動力學仿真
stock-split-calendar	顯示上市公司股票未來和過去的股息
stonscipap-snap	「石頭、剪刀、布」的 2 人版本。
store-admin	Canonical snap-store-proxy 用戶端和管理實用程序
store-test-ubuntu-desktop	用於測試 Ubuntu 桌面上的儲存元數據
storjshare	Storj 網路上的農業資料。
story	故事 CLI
strace-static	診斷、調試和指導用戶空間實用程式
strandedii	在《擱淺 II》中，你將再次面臨生存之戰。
strange-attractors	奇怪的吸引子遊戲
strawberryssg	高譚被草莓取代
streambop	流波普
stream-monitor	監控您的網路串流
streamsheets	用於在電子表格介面中處理流資料的無程式碼平台
streamtuner2-dev	用於網路廣播、音訊和視訊廣播的目錄瀏覽器
street-shuffle	街頭洗牌益智遊戲
stretchly	休息提醒應用程式
strict-exam-browser-sample	下一個嚴格瀏覽器
strimio-desktop	Strimio 是一款適用於 macOS、Windows 和 Linux 的免費媒體播放器，可讓您以前所未有的方式播放和組織直播串流
stringrunner	單行描述
stringsnap	簡短摘要，長度可為 78 個字符
strongbox	安全地管理靜態 Hashicorp Vault 機密
strongswan-ipsec	Strongswan ipsec/VPN
structa	用於識別大型資料檔案結構的小型、半神奇的實用程序
struggle-compare3	資料夾比較器、文件比較器、Struggle Compare 版本 3，對程式碼很有用。
strunkg-ros-0-basic	ROS範例
strunkg-ros-1-git-repo	示範如何從拉入工作區的 git 儲存庫建立快照。
sttr	一個跨平台 cli 應用程序，用於對字串執行各種操作。
stubb	CircleCI 的 Docker 實用程式。
stunnel5	stunnel 是一個開源跨平台應用程序，用於提供通用 TLS/SSL 隧道服務。
stunt-car-remake	特技汽車電玩遊戲的翻拍
stuntrally	特技會議
suanpan	開源、平行、異質有限元素分析框架
subdominator	用於偵測子網域取得的 CLI 工具
subitoo	Subito.it 價格追蹤器
sublime-merge	認識來自 Sublime Text 創作者的新 Git 用戶端
sublime-text	用於程式碼、標記和散文的複雜文字編輯器。
submission-service	接受複選框結果的提交服務
submix	SubMix 多軌音訊編輯器
subsonic-arubislander	您的個人一體式媒體串流媒體。
subsurface	休閒、技術和自由潛水員的開源潛水計劃
subsync	字幕語音同步
subterfuge	使用 SLIP39 實現的 Shamir 秘密共享實驗。
subtitld	Subtitld 是用於建立、轉錄和編輯字幕的軟體。
suckit	吸
sudoku-game	數獨 9x9 遊戲
sudoku-rs	直接在終端機中進行數獨
sudoku-windows	在電腦上玩數獨或列印遊戲表以老式方式玩。
sudreg	瀏覽克羅埃西亞共和國法院登記處
sugarizer	糖
suid-wrapper	用於建立與 suid 標誌一起使用的二進位可執行檔的實用程式
suligap-python3-qrcode	純Python二維碼產生器
sumatrapdf	SumatraPDF 體積小、速度快、可自訂且免費。
super-burgertime	經典街機遊戲
supercalc-snap	適用於 Ubuntu 的強大運算工具集合。
super-candy-cruncher	精美的動作和益智遊戲
supercell	用於轉換無序晶體結構的軟體。
super-chat	超級聊天
super-cratebox	街機遊戲
superintendantscout	童軍超級管理員是童軍活動選單規劃的助手。
supermariobros-game-builder	這是《超級瑪利歐兄弟》遊戲的忠實模擬。任天堂娛樂系統原創。
supermarket	超市模擬
superperms	尋找最小超級排列
superproductivity	超生產力
supersim	一款有趣的超市模擬遊戲。
super-smash-bros-crusade	超級明星大亂鬥Crusade 是一個粉絲開發的項目
super-smash-land	GameBoy風格的遊戲
super-space-invaders	經典街機遊戲
super-star-trek	超級星際爭霸戰經典文字版
super-tower-rush	在致命的尖刺抓住你之前，盡可能地從塔上下來！
supertpv-branch-server	SuperTPV 的 Bracnh 伺服器
supertpv-desktop-client	supertpv-桌面用戶端
supertpv-label-printer	超級標籤印表機
supertpv-print-server	SuperTPV 列印伺服器
super-track	超級皮斯塔
supertux	SuperTux 是一款經典的開源 2D 橫向捲軸跳躍和奔跑遊戲，其風格與原版《超級瑪利歐》遊戲類似
supertuxkart	具有多種角色、賽道和遊戲模式的 3D 街機賽車遊戲
super-u-plan	用於規劃和管理專案進度的有用工具。
surc	Snap 上游版本檢查器
opensurge	一款有趣的 2D 復古平台遊戲，靈感來自索尼克遊戲和遊戲創建系統
surl	精簡 Ubuntu Store API 包裝器。
survivor-reborn	倖存者回來了！
sushido	抓魚做壽司！沖洗並重複
susi-api	研華創建 SUSI API 來簡化應用程式開發並透過研華物聯網設備提供獨特的服務
suside	蘇賽德編輯
suspended-sentence	Hanging Sentence：以太空船為背景的點擊式冒險遊戲
svg2pts	將 SVG 轉換為點的命令列程式。
svg-labels	SVG 列印標籤產生器
svgo	一個基於 Node.js 的工具，用於優化 SVG 向量圖形文件
svix	Svix CLI 實用程式
svlint	Linter SystemVerilog
svls	系統Verilog語言伺服器
swach	適合現代時代的強大色彩管理工具。
swarm-api	docker swarm 的簡單 REST API
swed	複雜的文字編輯器。
sweeper	歷史記錄和臨時文件清理器
sweethome3d-homedesign	用於繪製房屋平面圖和佈置家具的室內設計應用程式
swell-foop	透過移除成組的彩色和形狀的碎片來清潔螢幕
sw-hive	SW-蜂巢
swiftbay-cyber-client	Swiftbay-網路用戶端
swift-ring-checker	檢查 Juju 中部署的 Swift 叢集上的快速環。
swi-prolog	Prolog程式語言的全面實現
swopi-issuer	Swopi發行客戶端
symboleditor	十字繡符號編輯器
symbolic-preview	符號學變簡單
symbolize	使用符號連結使設定檔在工作站之間保持同步
symbol-tax	稅務符號
symgrpmad	基於重疊對稱群思想的遊戲。
symphytum	易於使用的個人資料庫軟體
sync-agent	Infobaleen 同步代理
sync-and-dump-s3	同步 AWS S3 儲存桶並上傳 MySQL 和 MongoDB 轉儲
syncappkiosk	同步應用亭
syncdns	跨多個註冊表輕鬆同步基礎架構的 DNS 項目
syncdraw	SyncDraw - ANSI 繪圖應用程式
syncfusion-flutter-gallery	Syncfusion Flutter 演示
syncplay	客戶端/伺服器在多台電腦上同步媒體播放
syncterm-linux	Ubuntu 版本的 Syncterm - BBS 終端模擬器
syncthing-arubislander	無縫開源文件同步
syncthing-gael	無縫開源文件同步
syn	Syntesys 的單線電梯間距
synfigstudio	開源 2D 動畫軟體
synthesijer	Synthesijer 是一個 Java 到 VHDL/Verilog HDL 編譯器
synthetic-things	製造合成水果的奇妙工廠。
syscoin-core	捕捉 syscoin 核心
htop-pro	具有 CPU 和 RAM 使用實用程式的網路速度監控器
sysrepo-netopeer-gen	sysrepo 和 netopeer snap
sysrepo-netopeer-shejoshi	sysrepo 和 netopeer snap
systemg	System G 為 UNIX 檔案系統提供圖形介面。
system-information	一個顯示 Linux 統計資料的 flutter 應用
system-tool	查看系統資訊
szyszka	Szyszka - 用 Rust 編寫的快速檔案重新命名器
t2sz	它將任何檔案壓縮到可搜尋的 .zstd 檔案中
tabela	在表格中顯示 CSV 內容的簡單應用程式。
table	桌子
tabletop-club-unofficial	開源多人桌面模擬器
codechenx-tv	電視（表格檢視器）到終端機中的分隔文字檔案（csv、tsv 等）
tablexplore	繪圖和數據分析包
tabula	Tabula 有助於釋放 PDF 檔案中的資料表。
tabular	解析 ASCII 表格數據，例如 docker ps 或 netstat -tanp 的輸出。
tacentview	tga、png、apng、exr、dds、pvr、ktx、ktx2、astc、pkm、qoi、gif、hdr、jpg、tif、ico、webp 和 bmp 檔案的圖片檢視器/編輯器。
tactics	建立你的足球陣容
tagger	標記您的音樂
taisho	Urbit OS 的船舶運作者和管理者
taiwan-consensus	台灣共識
talevideo	創建產品影片的最簡單方法
tali	擲骰子並得分
tamtam-app	譚譚
tanda	用於對 flutter 項目進行版本控制的命令列工具遵循標準語意版本控制。
tandem	遠端團隊的虛擬辦公室
tangled-slug	關於彈性蛞蝓和蘑菇的邏輯遊戲
tango	與訪問日誌共舞的命令列工具💃
tank-d8	自上而下的 2D 街機彈幕動作
tanks-of-freedom	RTS策略遊戲
tank-warriors	駕駛、射擊、爆炸和程式設計——一切盡在一款遊戲中
tapaal	TAPAAL 是用於建模和驗證 Petri 網的免費軟體
tapyrus-core	聯邦管理的區塊鏈
tapyrus-signer	Tapyrus 簽署人
tarantool	記憶體資料庫和Lua應用伺服器
tarquin	磁振造影波譜資料時域分析方法
tarski	計算 Tarski 公式和半代數集的系統
taskade	探索 Taskade，您的人工智慧驅動的團隊生產力平台。透過任務、筆記和心智圖的人工智慧輔助提高效率
taskbook	命令列棲息地的任務、面板和註釋
task-creator	在 github 上建立問題
taskctl	taskctl - 並發任務運行器，開發人員例行任務自動化工具包
task	一個更簡單的任務運行器/用 Go 編寫的替代方案
tasker	簡單的待辦事項應用程式可以記住您做了什麼
taskline	命令列棲息地的任務、面板和註釋
tasks	命令列 todolist 應用程式
taskwarrior-plars	功能豐富的基於控制台的任務清單管理器
taskwarrior-tui	Taskwarrior 的終端使用者介面
tastyworks-unofficial	TastyWorks 平台快速打包以實現相容性
tauno-monitor	簡單的獨立串口監視器
tauno-serial-plotter	簡單的串行繪圖儀
taup	TauP 工具包：靈活的地震走時和射線路徑實用程式
tautulli	用於 Plex 媒體伺服器的基於 Python 的監控和追蹤工具。
tbfdigital	tbf數字
tbinge	狂歡
tcpdump	命令列網路流量分析器
tcpdump-snap	tcpdump 封包分析器
tcpie	用於 ping 任何 TCP 連接埠的 CLI 工具
tcping	平 TCP
tcr-status-led	控制 Microfabricator 上的狀態 LED
tdengine	專為物聯網設計優化的開源大數據平台。
tdhcad	圖形和向量圖形
tdhgis	GIS，基於向量的空間分析
tdhgisnet	最短路徑分析
tdhnet	供水系統和管網的水力建模
teachnext-demo	教下一個演示
teachnext	屢獲殊榮的數位教室解決方案
team-pacman	Team Pacman 是 Namco 經典街機遊戲的多人版本
teams-for-linux	Linux 團隊
teamtime	用於追蹤分佈在全球的團隊的時間的腳本。
teamworkchat	團隊協作聊天為您的整個團隊提供了即時溝通的平台。
teapot	回應「我是茶壺」的 Web 服務
teatime	用於 Unity 和 Dash 對接的簡單秒錶應用程式
comp-labs-meet	無需任何帳戶即可在 Linux 桌面上免費加入會議！
tectonic	構造版式系統
teeworlds-unofficial	復古多人射擊遊戲
teletext	芬蘭語圖文電視檢視器
tela-icons	Snap 的畫布圖示主題
telebit-relay	為什麼好友不允許本地好友
telefaza	電信公司
telega	GNU Emacs 上 Telegram 的完整非官方客戶端。
telegraf	電報代理
telegram-cli	Telegram 的命令列介面。使用 readline 介面。
telegram-desktop	快速地。安全的。強大的。
telegram-testbart	一款基於雲端的消息傳遞應用程序，注重安全性和速度。
teleguard-desktop	即時通訊工具，無需連接電話號碼，也無需收集使用者身分資料。沒有註冊表
telemetry-agent-host	主機代理程式收集資源使用統計資料！
telemetrytv-desktop	TelemetriaTV 桌面
ttvdesktop	TelemetriaTV 桌面
ttvplayer	Telemetria電視播放器
telemetrytv	Telemetria電視播放器
teleprompter	在螢幕上顯示滾動文字
telsis-translator-flutter	Telsis 語言翻譯器
tempest	OpenStack 整合測試套件
tempest-jhobbs	OpenStack 風暴測試
templatizer	利用範本儲存庫加速您的開發。
temporal	使用 CLI 運行臨時伺服器並與臨時伺服器交互
tempren	基於模板的文件重命名實用程式
teresa-cli	用於將應用程式部署到 Kubernetes 叢集的開源工具
terje-awesome-app	我的第二張快照
term2048	終端機上顯示 2048
termbreaker	TermBreaker 是一款反向突破遊戲。
termdown	終端機上的倒數計時和計時器。
terminal-parrot	為您的終端跳舞的鸚鵡
